tier,qa_count,contract_name,company,filing_no,cum_qa_pct
Tier1 必采,12,PICC人保寿险i无忧2,PICC,,0.0113
Tier1 必采,11,TaiPing太平财产保险有限公司财产一切险条款,太平,,0.0217
Tier1 必采,10,《泰康宁波医保账户指定重大疾病保险B款》产品条款,泰康,,0.0311
Tier1 必采,9,PICC人保寿险人人保2,PICC,,0.0396
Tier1 必采,9,安联吉祥相伴两全保险（分红型）条款,安联,,0.0481
Tier1 必采,9,安联安享汇盈终身寿险（分红型）条款,安联,,0.0566
Tier1 必采,8,《泰康交通工具乘客团体意外伤害保险》泰康养发[2022]130号产品条款,泰康,[2022]130号,0.0642
Tier1 必采,8,安联安康孝欣（2,安联,,0.0717
Tier1 必采,8,《泰康团体重大疾病保险F款》产品条款,泰康,,0.0792
Tier1 必采,8,安联臻爱一世（少儿版）重大疾病保险条款,安联,,0.0868
Tier1 必采,8,《泰康团体重疾补充医疗保险R款（2023版）》产品条款,泰康,,0.0943
Tier1 必采,8,安联安康欣悦（2,安联,,0.1019
Tier1 必采,8,TaiPing太平财产保险有限公司个人住院医疗费用保险（互联网专属2021-D版）,太平,,0.1094
Tier1 必采,8,安联团体（B款）（2006）定期寿险条款,安联,,0.117
Tier1 必采,8,《泰康e保有约住院医疗保险》产品条款,泰康,,0.1245
Tier1 必采,8,《泰康惠选长安团体长期意外伤害保险B款》产品条款,泰康,,0.1321
Tier1 必采,7,《泰康团体重大疾病补充医疗保险》产品条款,泰康,,0.1387
Tier1 必采,7,安联安心守护少儿高端医疗保险条款,安联,,0.1453
Tier1 必采,7,TaiPing太平财产保险有限公司物流责任保险条款,太平,,0.1519
Tier1 必采,7,中华财险住房出租财产保险附加盗抢保险条款2020-01-19条款,中华财险,2020-01-19,0.1585
Tier1 必采,7,TaiPing财产综合险,TaiPing,,0.1651
Tier1 必采,7,《泰康新生活境内旅行意外伤害保险》泰康养发[2022]106号产品条款,泰康,[2022]106号,0.1717
Tier1 必采,6,安联附加团体（2021）重大疾病保险条款,安联,,0.1774
Tier1 必采,6,安联盛世汇金年金保险（分红型）条款,安联,,0.183
Tier1 必采,6,安联安行万里境外旅行互联网意外伤害保险条款,安联,,0.1887
Tier1 必采,6,PICC人保寿险健康相伴重大疾病保险（C款）_产品条款,PICC,,0.1943
Tier1 必采,6,《泰康为i保医疗保险》条款产品条款,泰康,,0.2
Tier1 必采,6,安联安心常伴（II）少儿重大疾病保险条款,安联,,0.2057
Tier1 必采,6,中美联泰大都会人寿保险有限公司都会无忧意外伤害保险-产品条款,中美联泰,,0.2113
Tier1 必采,6,安联安享鑫生终身年金保险（分红型）条款,安联,,0.217
Tier1 必采,6,《泰康汇享有约（青少版）年金保险（分红型）》条款产品条款,泰康,,0.2226
Tier1 必采,6,PICC人保寿险医健保团体补充医疗保险_产品条款,PICC,,0.2283
Tier1 必采,6,《泰康E款团体重大疾病保险》条款产品条款,泰康,,0.234
Tier1 必采,6,安联安赢添福（2,安联,,0.2396
Tier1 必采,6,《泰康尊享一生养老年金保险I款（万能型）》产品条款,泰康,,0.2453
Tier1 必采,6,安联臻爱优选（少儿版）重大疾病保险条款,安联,,0.2509
Tier1 必采,6,中美联泰大都会人寿保险有限公司健康随心Ⅲ终身寿险-产品条款,中美联泰,,0.2566
